"Item.Description","date","time","Post.code.description","postcode","total","Location","Sales_Type","lat","lon"
"%Nwm - Concess Admit","16/11/2005","10:13:04","NETHERLANDS",13,5.9,"International","Ticket Sales",52.5,5.75
"%Nwm - Adult Admit","14/9/2012","2:50:19","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Magnet/Set/Mini","15/12/2013","2:11:12","GERMANY",7,10.91,"International","Shop Sales",51,9
"Magnet/Beanz/Kangaroo","6/3/2008","12:43:09","OTHER INTERNATIONAL",25,5.5,"International","Shop Sales",NA,NA
"Postcards/G O R / 5sc/ 11go193","8/3/2011","14:00:05","GERMANY",7,0.59,"International","Shop Sales",51,9
"Postcards - Bollards Sail Captain","1/5/2011","11:50:17","JAPAN",11,1.36,"International","Shop Sales",36,138
"Postcard - East'n Beach 3-30006","3/5/2014","3:22:30","TAIWAN",21,0.91,"International","Shop Sales",23.5,121
"Postcards/G O R / 3sc/ 11go190","2/12/2007","13:34:31","GERMANY",7,0.65,"International","Shop Sales",51,9
"%Nwm - Adult Admit","26/8/2014","3:10:00","GERMANY",7,8.25,"International","Ticket Sales",51,9
"Postcards - Bollards","3/1/2006","17:05:08","NETHERLANDS",13,1.5,"International","Shop Sales",52.5,5.75
"Horse shoe nail sheep","14/8/2009","11:19:09","HONG KONG",8,8.95,"International","Shop Sales",22.25,114.1667
"Keyring Bollards","29/11/2013","4:57:17","UNITED KINGDOM",22,8.14,"International","Shop Sales",54,-2
"%Nwm - Child Admit","7/1/2006","11:21:03","UNITED STATES",23,3.65,"International","Ticket Sales",38,-97
"Bookmarks/Sbm018","28/12/2011","1:10:52","CANADA",3,0.91,"International","Shop Sales",60,-95
"%Nwm - Concess Admit","31/1/2008","15:19:27","UNITED KINGDOM",22,11.8,"International","Ticket Sales",54,-2
"Koala 16cm/Swaggie /Long Fur/Auk16swl","24/7/2013","1:52:31","UNITED KINGDOM",22,11.77,"International","Shop Sales",54,-2
"Postcard/Carrie Moore","1/10/2011","13:08:59","CHINA",4,1.14,"International","Shop Sales",35,105
"Cd-Big Aussie Album","11/9/2009","14:14:33","UNITED KINGDOM",22,23.59,"International","Shop Sales",54,-2
"Foot Warmer/Grey (L)","19/8/2006","9:43:59","JAPAN",11,33.95,"International","Shop Sales",36,138
"Cardigan - Fb8431/Black Wool&Cash","29/12/2008","15:38:21","UNITED STATES",23,99.95,"International","Shop Sales",38,-97
"Postcards Apostles/Ab","4/5/2015","9:51:07","HONG KONG",8,0.68,"International","Shop Sales",22.25,114.1667
"Postcards/12 Apostles Story/11go121","16/2/2011","10:00:47","SWITZERLAND",20,0.59,"International","Shop Sales",47,8
"Cap/Black/Pink/Koala","23/11/2009","14:38:26","AFRICA",1,13.59,"International","Shop Sales",NA,NA
"Postcards/G O R/12 Apostle/11go153","7/9/2010","12:19:27","GERMANY",7,0.59,"International","Shop Sales",51,9
"Geelong (Nucol)","10/9/2007","12:08:57","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Family Child - NWM Only","29/7/2006","14:07:50","UNITED KINGDOM",22,0,"International","Shop Sales",54,-2
"Postcard/Eastern Beach Lifesavers","7/10/2012","12:42:03","CHINA",4,1.14,"International","Shop Sales",35,105
"%Nwm - Adult Admit","15/9/2005","11:39:45","GERMANY",7,7.3,"International","Ticket Sales",51,9
"Jacket - R1w574 Grape","5/8/2011","11:16:38","UNITED STATES",23,127.23,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","20/10/2008","12:01:17","UNITED KINGDOM",22,7.3,"International","Ticket Sales",54,-2
"Pendant/Opal Chip/Oppe","7/12/2014","12:10:01","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"%Nwm - Concess Admit","15/5/2008","15:20:27","UNITED KINGDOM",22,5.9,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","4/10/2011","11:17:11","UNITED KINGDOM",22,7.5,"International","Ticket Sales",54,-2
"%Nwm - Adult Admit","3/12/2012","1:07:32","SINGAPORE",17,7.5,"International","Ticket Sales",1.3667,103.8
"Egg- Hatching Australian Animals","30/10/2010","14:02:26","OTHER INTERNATIONAL",25,8.14,"International","Shop Sales",NA,NA
"%Nwm - Family Adm(2+2)","3/4/2006","12:47:21","UNITED KINGDOM",22,20,"International","Ticket Sales",54,-2
"Postcard/Mathew Flinders","25/10/2014","10:48:08","CHINA",4,1.14,"International","Shop Sales",35,105
"Shot Glass - H/Painted 12 Apostles Gor","14/4/2012","2:06:22","OTHER INTERNATIONAL",25,6.64,"International","Shop Sales",NA,NA
"%Nwm - Concess Admit","12/8/2013","10:32:12","CANADA",3,6,"International","Ticket Sales",60,-95
"%Nwm - Concess Admit","5/2/2013","10:23:14","UNITED STATES",23,6,"International","Ticket Sales",38,-97
"Scarf - Mohair/Charcoal - Waverley","3/12/2005","15:26:39","UNITED KINGDOM",22,39.95,"International","Shop Sales",54,-2
"Misc. NWM Shop Stock","21/12/2013","4:23:52","UNITED KINGDOM",22,162.73,"International","Shop Sales",54,-2
"Postcards/Classic/Geelong/4 1403095","6/2/2014","10:49:18","UNITED KINGDOM",22,0.77,"International","Shop Sales",54,-2
"Platypus - 35cm/Hl4218","27/10/2005","16:12:43","GERMANY",7,8.95,"International","Shop Sales",51,9
"Magnet/Monochrome","22/1/2015","12:42:10","UNITED KINGDOM",22,2.73,"International","Shop Sales",54,-2
"Postcards/G O R / 3sc/ 11go190","20/2/2009","15:18:33","UNITED KINGDOM",22,0.65,"International","Shop Sales",54,-2
"Pen - Aust Wildlife Bpnwl/6","6/3/2007","15:13:22","OTHER INTERNATIONAL",25,7.8,"International","Shop Sales",NA,NA
"%Nwm - Adult Admit","28/12/2010","12:19:08","CHINA",4,7.3,"International","Ticket Sales",35,105
"Postcards - Geelong Aerial/11ge004","22/9/2012","10:59:13","SPAIN",19,0.59,"International","Shop Sales",40,-4
"Tissues/Pkt/Dollars","9/12/2014","2:02:41","UNITED STATES",23,4.09,"International","Shop Sales",38,-97
"Adult - Redeem  Nwm & Fdc","2/6/2011","14:39:27","UNITED STATES",23,0,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","16/5/2008","11:30:31","SWITZERLAND",20,7.3,"International","Ticket Sales",47,8
"%Nwm - Concess Admit","13/6/2010","13:17:09","GERMANY",7,5.9,"International","Ticket Sales",51,9
"Promotion (1 for 1) - NWM Only","23/12/2014","1:04:26","UNITED KINGDOM",22,0,"International","Shop Sales",54,-2
"Magnet - Koala (Single)","16/8/2010","11:24:47","CHINA",4,3.18,"International","Shop Sales",35,105
"Cud-Lee Koala  22cm Ca82241","8/3/2007","14:01:13","UNITED KINGDOM",22,19.95,"International","Shop Sales",54,-2
"Bookmark/Aussie Die Cut Assorted","30/3/2015","4:45:05","GERMANY",7,5.91,"International","Shop Sales",51,9
"%Nwm - Child Admit","28/12/2006","13:58:05","OTHER INTERNATIONAL",25,3.65,"International","Ticket Sales",NA,NA
"%Nwm - Adult Admit","19/11/2010","10:59:04","UNITED STATES",23,14.6,"International","Ticket Sales",38,-97
"Sock - Bellv Child/13-3 Bvc046","15/8/2006","10:22:22","TAIWAN",21,8.5,"International","Shop Sales",23.5,121
"Card - Laughing Kookaburra (J Boot)","16/2/2015","11:21:16","DENMARK",5,5.41,"International","Shop Sales",56,10
"Shop List W/Pencil/Kooka/Ts09","10/5/2013","2:22:04","CANADA",3,6.32,"International","Shop Sales",60,-95
"Kanga/19cm/Sw/T-Shirt/Roo 19ss","4/3/2011","12:48:10","UNITED STATES",23,6.32,"International","Shop Sales",38,-97
"Calendar - Gt Ocean Rd 2009","13/7/2008","12:43:12","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"Keyring - Kangaroo (Innov)","16/10/2014","11:41:52","OTHER INTERNATIONAL",25,4.5,"International","Shop Sales",NA,NA
"Keyring - Kangaroo (Innov)","5/1/2011","13:41:18","DENMARK",5,4.5,"International","Shop Sales",56,10
"Postcards Apostles/Abs","28/6/2006","14:28:06","UNITED STATES",23,0.65,"International","Shop Sales",38,-97
"%Nwm - Adult Admit","5/7/2010","12:49:10","CHINA",4,14.6,"International","Ticket Sales",35,105
"Sheep 5"" With Bell","18/1/2011","15:55:28","GERMANY",7,4.5,"International","Shop Sales",51,9
"%Nwm - Concess Admit","30/11/2014","12:09:24","GERMANY",7,6.5,"International","Ticket Sales",51,9
"Aust B/Let Black Small Gw300003s","23/1/2007","15:48:38","UNITED STATES",23,9.95,"International","Shop Sales",38,-97
"Face Washer/Emb","14/4/2008","15:27:00","UNITED KINGDOM",22,10.95,"International","Shop Sales",54,-2
"Card/Bollard/Scallop F'woman","27/7/2011","14:33:42","JAPAN",11,5,"International","Shop Sales",36,138
"Lanolin/Anti Wrinkle/Night Cream","7/8/2006","16:19:32","SINGAPORE",17,9.95,"International","Shop Sales",1.3667,103.8
"Postcard - Nwm 3 Sheep","8/2/2012","11:32:47","RUSSIA",16,0.91,"International","Shop Sales",60,100
"Pen - Australia","5/1/2010","10:45:24","JAPAN",11,10.64,"International","Shop Sales",36,138
"Postcard/Cunningham Pier/Geelong Aust","9/4/2012","4:06:02","NEW ZEALAND",15,0.59,"International","Shop Sales",-41,174
"%Nwm - Adult Admit","29/12/2011","11:55:15","UNITED STATES",23,7.5,"International","Ticket Sales",38,-97
"Shot Glass - Single/W.H.","20/11/2009","13:49:31","UNITED STATES",23,2.68,"International","Shop Sales",38,-97
"Wool Popcorn Mixed Colours 100g","7/7/2014","12:57:40","SWITZERLAND",20,27.23,"International","Shop Sales",47,8
"Face Washer/Emb","22/12/2008","14:10:20","UNITED KINGDOM",22,10.95,"International","Shop Sales",54,-2
"Magnet/Nwm Shaped Top","27/1/2006","17:04:07","UNITED STATES",23,4.95,"International","Shop Sales",38,-97
"Postcard/Eastern Beach Lifesavers","2/3/2014","3:47:15","AUSTRIA",2,1.14,"International","Shop Sales",47.3333,13.3333
"Echidna 6""","23/2/2007","9:34:23","DENMARK",5,4.95,"International","Shop Sales",56,10
"Postcard - Eastern Beach(B.Kirby)","9/2/2015","1:31:53","UNITED KINGDOM",22,0.91,"International","Shop Sales",54,-2
"Misc. NWM Shop Stock","19/2/2014","4:31:35","UNITED KINGDOM",22,9.95,"International","Shop Sales",54,-2
"%Nwm - Concess Admit","29/3/2012","11:14:43","UNITED KINGDOM",22,12,"International","Ticket Sales",54,-2
"Postcards/Geelong Marina/11ge002","27/6/2005","11:06:42","OTHER INTERNATIONAL",25,0.65,"International","Shop Sales",NA,NA
"Postcard-W/Front Aerial G'long 1-10008","20/5/2013","1:45:32","UNITED KINGDOM",22,0.86,"International","Shop Sales",54,-2
"Postcards Gt Ocean Rd/Gor16","8/12/2009","16:13:50","FRANCE",6,0.68,"International","Shop Sales",46,2
"Lanolin/Anti Wrinkle/Night Cream","10/6/2011","10:50:25","SINGAPORE",17,18.09,"International","Shop Sales",1.3667,103.8
"%Nwm - Adult Admit","2/2/2007","12:47:01","CANADA",3,14.6,"International","Ticket Sales",60,-95
